timestamp_cec,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2023-01-01 00:00:00+01:00,120.000,37.000,83.000,11.000,0.000,50.000,910.000,364.000
2023-01-01 01:00:00+01:00,120.000,34.000,77.000,11.000,0.000,49.000,910.000,451.000
2023-01-01 02:00:00+01:00,113.000,36.000,82.000,11.000,0.000,49.000,769.000,453.000
2023-01-01 03:00:00+01:00,111.000,36.000,80.000,11.000,0.000,49.000,675.000,454.000
2023-01-01 04:00:00+01:00,112.000,37.000,83.000,11.000,0.000,49.000,575.000,459.000
2023-01-01 05:00:00+01:00,112.000,35.000,79.000,11.000,0.000,49.000,760.000,465.000
2023-01-01 06:00:00+01:00,112.000,36.000,80.000,11.000,0.000,49.000,770.000,467.000
2023-01-01 07:00:00+01:00,115.000,36.000,80.000,11.000,0.000,49.000,772.000,464.000
2023-01-01 08:00:00+01:00,117.000,36.000,80.000,11.000,0.000,49.000,917.000,479.000
2023-01-01 09:00:00+01:00,114.000,36.000,80.000,11.000,4.000,48.000,918.000,493.000
2023-01-01 10:00:00+01:00,114.000,37.000,81.000,11.000,25.000,49.000,905.000,479.000
2023-01-01 11:00:00+01:00,120.000,37.000,81.000,11.000,55.000,53.000,915.000,497.000
2023-01-01 12:00:00+01:00,121.000,37.000,81.000,11.000,67.000,64.000,911.000,524.000
2023-01-01 13:00:00+01:00,121.000,38.000,83.000,12.000,60.000,65.000,911.000,512.000
2023-01-01 14:00:00+01:00,123.000,37.000,82.000,11.000,34.000,63.000,905.000,490.000
2023-01-01 15:00:00+01:00,123.000,46.000,100.000,19.000,10.000,65.000,872.000,499.000
2023-01-01 16:00:00+01:00,122.000,57.000,159.000,27.000,0.000,66.000,885.000,473.000
2023-01-01 17:00:00+01:00,126.000,64.000,173.000,30.000,0.000,66.000,898.000,445.000
2023-01-01 18:00:00+01:00,214.000,64.000,172.000,30.000,0.000,67.000,836.000,404.000
2023-01-01 19:00:00+01:00,213.000,63.000,169.000,30.000,0.000,67.000,868.000,379.000
2023-01-01 20:00:00+01:00,138.000,66.000,174.000,31.000,0.000,68.000,888.000,382.000
2023-01-01 21:00:00+01:00,201.000,59.000,163.000,28.000,0.000,67.000,886.000,360.000
2023-01-01 22:00:00+01:00,199.000,58.000,152.000,28.000,0.000,67.000,851.000,313.000
2023-01-01 23:00:00+01:00,200.000,56.000,151.000,20.000,0.000,66.000,752.000,260.000
2023-01-02 00:00:00+01:00,201.000,66.000,173.000,20.000,0.000,68.000,603.000,213.000
2023-01-02 01:00:00+01:00,162.000,67.000,176.000,21.000,0.000,68.000,476.000,193.000
2023-01-02 02:00:00+01:00,165.000,67.000,175.000,21.000,0.000,68.000,496.000,156.000
